"wmon","fmisid","station_name","lon","lat","elev"
6208,115126,"Awg-1",5.94167,53.49167,27
6201,115149,"D15-Fa-1",2.93583,54.32556,36
6205,115150,"A12-Cpp",3.81028,55.39917,33
6211,115151,"J6-A",2.94528,53.82417,34
6212,115152,"Hoorn-A",4.15028,52.91806,41
7002,115163,"Boulogne",1.59972,50.7325,68
7003,115164,"Le Touquet",1.62278,50.51444,20
7010,115166,"Dunkerque",2.33944,51.05583,16
7015,115167,"Lille-Lesquin",3.0975,50.57,47
10004,115920,"Ufs Tw Ems",6.35,54.16667,0
10007,115921,"Ufs Deutsche Bucht",7.43333,54.18333,0
10015,115922,"Helgoland",7.89167,54.175,8
10020,115924,"List Auf Sylt",8.4125,55.01111,26
10022,115925,"Leck",8.95139,54.79028,8
10033,115928,"Gluecksburg-Meierwik",9.50556,54.82722,33
10035,115930,"Schleswig",9.54944,54.52889,43
10037,115931,"Schleswig-Jagel",9.52056,54.45667,26
10038,115932,"Hohn",9.53944,54.31278,18
10042,115933,"Schoenhagen (Ostseeb",10.02361,54.64083,3
10044,115934,"Leuchtturm Kiel",10.27472,54.50028,26
10046,115935,"Kiel-Holtenau",10.14333,54.37611,28
10055,115936,"Fehmarn",11.06194,54.52972,9
10067,115937,"Marienleuchte",11.24056,54.49361,11
10093,115939,"Putbus",13.47694,54.36417,41
10097,115940,"Greifswalder Oie",13.91,54.24361,11
10113,115941,"Norderney",7.1525,53.71389,16
10124,115944,"Leuchtturm Alte Wese",8.13333,53.86667,31
10126,115946,"Wittmundhafen",7.66667,53.55,12
10129,115948,"Bremerhaven",8.57611,53.53306,6
10130,115949,"Elpersbuettel",9.01056,54.06917,5
10131,115950,"Cuxhaven",8.70694,53.87306,12
10136,115951,"Nordholz (Flugplatz)",8.6575,53.76472,32
10142,115954,"Itzehoe",9.56972,53.98972,26
10146,115955,"Quickborn",9.8775,53.73306,14
10147,115956,"Hamburg-Fuhlsbuettel",9.99,53.635,15
10150,115958,"Doernick",10.35167,54.16528,28
10152,115959,"Pelzerhaken",10.87722,54.08917,2
10156,115960,"Luebeck-Blankensee",10.69889,53.8025,16
10161,115962,"Boltenhagen",11.19222,54.00444,16
10162,115963,"Schwerin",11.38722,53.6425,60
10168,115965,"Goldberg",12.10333,53.60583,59
10170,115967,"Rostock-Warnemuende",12.08222,54.18167,13
10172,115968,"Laage (Flugplatz)",12.27889,53.91556,59
10180,115970,"Barth",12.71083,54.34056,4
10184,115971,"Greifswald",13.4075,54.09778,6
10193,115973,"Ueckermuende",14.06972,53.74444,2
10200,115974,"Emden",7.22694,53.38944,-2
10224,115978,"Bremen",8.79944,53.04639,5
10235,115979,"Soltau",9.79306,52.96028,77
10238,115980,"Bergen",9.93333,52.81667,78
10246,115981,"Fassberg",10.18389,52.91944,88
10249,115982,"Boizenburg",10.68944,53.39306,46
10253,115983,"Luechow",11.1375,52.9725,18
10264,115985,"Marnitz",11.93194,53.32222,87
10267,115986,"Kyritz",12.40917,52.93611,40
10268,115987,"Waren",12.66528,53.51944,65
10270,115988,"Neuruppin",12.80861,52.90528,45
10281,115991,"Trollenhagen",13.30389,53.59972,93
10289,115992,"Gruenow",13.93389,53.31528,57
10291,115993,"Angermuende",13.99306,53.03306,55
10304,115994,"Meppen",7.33333,52.73333,41
10305,115995,"Lingen",7.30806,52.51806,26
10315,115998,"Muenster/Osnabrueck",7.7,52.13528,53
10321,116001,"Diepholz",8.3425,52.58806,43
10325,116002,"Salzuflen, Bad",8.75194,52.10417,137
10334,116003,"Wunstorf",9.42833,52.45806,69
10335,116004,"Bueckeburg",9.08778,52.28194,77
10338,116005,"Hannover",9.67972,52.46583,59
10343,116006,"Celle",10.02806,52.59528,53
10348,116008,"Braunschweig",10.44639,52.29139,82
10356,116009,"Ummendorf",11.17583,52.16,163
10359,116010,"Gardelegen",11.39417,52.51278,48
10361,116011,"Magdeburg",11.58444,52.10333,85
10368,116014,"Wiesenburg",12.45861,52.12056,188
10376,116015,"Baruth",13.49972,52.06139,56
10379,116017,"Potsdam",13.06389,52.38611,100
10381,116018,"Berlin-Dahlem (Fu)",13.3,52.46667,70
10382,116019,"Berlin-Tegel",13.31083,52.56556,37
10384,116020,"Berlin-Tempelhof",13.40194,52.4675,49
10385,116021,"Berlin-Schoenefeld",13.5325,52.38222,50
10393,116023,"Lindenberg",14.11667,52.21667,115
10396,116026,"Manschnow",14.54528,52.54667,13
10400,116027,"Duesseldorf",6.76917,51.2975,41
10410,116031,"Essen-Bredeney",6.96861,51.40556,150
10418,116034,"Luedenscheid",7.64333,51.24667,389
10427,116036,"Kahler Asten",8.49,51.18167,859
10430,116037,"Lippspringe, Bad",8.83861,51.78528,158
10433,116039,"Luegde-Paenbruch",9.27083,51.86639,259
10435,116041,"Warburg",9.11167,51.50389,237
10439,116045,"Fritzlar (Flugp",9.28361,51.11944,181
10444,116046,"Goettingen",9.95278,51.50167,168
10449,116047,"Leinefelde",10.31222,51.39333,353
10452,116048,"Braunlage",10.60222,51.72333,609
10453,116049,"Brocken",10.61833,51.79861,1153
10454,116050,"Wernigerode",10.76861,51.84556,240
10458,116051,"Harzgerode",11.13667,51.65194,405
10460,116052,"Artern",11.29194,51.37444,166
10469,116055,"Leipzig/Halle",12.24139,51.43611,136
